Name,URL,Rating,RatingVotes,Developer,ReleaseDate,LastUpdated,Technology,Platforms,Classification,WikiPages,Iframe,Description,Features,Controls,FAQ,GameplayVideo,HoverVideo,ThumbnailURL
Dandan Slime,https://www.crazygames.com/game/dandan-slime-anj,8.2,643,Teppo!,December 2024,N/A,HTML5 (Unity WebGL),"Browser (desktop, mobile, tablet), App Store(Android)",Games » Casual » Arcade,N/A,https://games.crazygames.com/en_US/dandan-slime-anj/index.html?v=1.317,Dandan Slime is an action-packed horde survival arcade game where you play as a heroic slime tasked with defending the dungeon.,N/A,"High-Speed Dash Combat: Use fast-paced dash attacks to clear waves of enemies and protect your dungeon from invaders.
Power-Up System: Collect coins during gameplay to unlock and enhance power-ups, boosting your slime's abilities.
High-Score Challenge: Focus on maximizing your damage output and survival skills to achieve the highest score possible.
Dynamic Gameplay: Combines strategy and quick reflexes to handle the increasing onslaught of enemies as the game progresses.",N/A,N/A,https://videos.crazygames.com/dandan-slime-anj/1/dandan-slime-anj-landscape-611x343_30fps.mp4,https://imgs.crazygames.com/dandan-slime-anj_16x9/20241223153221/dandan-slime-anj_16x9-cover?auto=format%2Ccompress&q=90&cs=strip&w=273&fit=crop
Zombie World Escape,https://www.crazygames.com/game/zombie-world-escape-fqd,8.9,"3,282",Anisoft Games,January 2025,N/A,HTML5 (Unity WebGL),"Browser (desktop-only), App Store(iOS, Android)",Games » Action » Horror » Zombie,N/A,https://games.crazygames.com/en_US/zombie-world-escape-fqd/index.html?v=1.317,"Zombie World Escape is a thrilling survival adventure set in a post-apocalyptic world overrun by the undead. As the bunker’s guardian, you’ll battle relentless zombie hordes, rescue survivors, and gather essential supplies. Face challenging bosses and make critical choices to protect humanity’s last hope. Every moment is a test of your courage and strategy.",N/A,"Intense Zombie Combat: Fight off waves of the undead with strategic prowess.
Critical Missions: Rescue survivors, like a lost little girl, and secure vital resources.
Resource Management: Keep your bunker stocked with food, medicine, and more.
Epic Boss Battles: Face off against powerful enemies that challenge your survival skills.
Thrilling Action: Experience high-stakes gameplay that tests your reflexes and strategy.",N/A,N/A,https://videos.crazygames.com/zombie-world-escape-fqd/3/zombie-world-escape-fqd-landscape-611x343_30fps.mp4,https://imgs.crazygames.com/zombie-world-escape-fqd_16x9/20250110095743/zombie-world-escape-fqd_16x9-cover?auto=format%2Ccompress&q=90&cs=strip&w=273&fit=crop
Fashion Battle,https://www.crazygames.com/game/fashion-battle,9.1,"2,964",Famobi,January 2025,N/A,HTML5,N/A,Games » Beauty » Fashion,N/A,https://games.crazygames.com/en_US/fashion-battle/index.html?v=1.317,"Fashion Battle is a thrilling style showdown where you compete to own the runway. Dress your model to match the theme, nailing every detail for the ultimate catwalk moment. Impress the judges with your flair and creativity as you aim to outshine the competition and claim the title of the most stylish contender!",N/A,N/A,N/A,N/A,https://videos.crazygames.com/fashion-battle/1/fashion-battle-landscape-611x343_30fps.mp4,https://imgs.crazygames.com/fashion-battle_16x9/20250116042115/fashion-battle_16x9-cover?auto=format%2Ccompress&q=90&cs=strip&w=273&fit=crop
Blade Merge,https://www.crazygames.com/game/blade-merge,9.2,"7,924",Onki Games,January 2025,January 2025,HTML5 (Unity WebGL),N/A,Games » Casual » Merge,N/A,https://games.crazygames.com/en_US/blade-merge/index.html?v=1.317,"Blade Merge is a thrilling blend of merging strategy and intense blade battles. Combine your blades to forge mightier weapons and take down enemy bots in action-packed duels. These spinning, razor-sharp blades are your ultimate tools to slice through foes, reduce their health, and protect your own as you conquer levels in this epic showdown.",N/A,N/A,N/A,N/A,https://videos.crazygames.com/blade-merge/1/blade-merge-landscape-611x343_30fps.mp4,https://imgs.crazygames.com/blade-merge_16x9/20250116024952/blade-merge_16x9-cover?auto=format%2Ccompress&q=90&cs=strip&w=273&fit=crop
MMA Manager 2,https://www.crazygames.com/game/mma-manager-2,8.5,"14,778",N/A,December 2024,N/A,HTML5,"Browser (desktop, mobile, tablet), App Store(iOS, Android)",Games » Sports » Management,Fandom,https://games.crazygames.com/en_US/mma-manager-2/index.html?v=1.317,"MMA Manager 2 is a dynamic sports management simulation where you take charge of building an MMA empire. Hire top-tier trainers, equip your gyms with cutting-edge gear, and plan strategic fight plans. Scout talented fighters, recruit rising stars and guide them to championship glory. Every decision shapes your path to becoming the ultimate MMA manager.",N/A,N/A,"Q: How to recruit more fighters in MMA Manager 2?
A: To recruit more fighters in MMA Manager 2, you will need to go to your roster and choose one of the fighters by selecting recruit.

Q: What does agility do in MMA Manager 2?
A: Agility gives you more leeway in MMA Manager 2, increasing your chances of match wins.

Q: Is agility important in MMA Manager 2?
A: Each characteristic offers a different set of skills to defeat your opponent in MMA Manager 2. Agility is important as is endurance and other characteristics.",https://www.youtube-nocookie.com/embed/hqdefault.webp,https://videos.crazygames.com/mma-manager-2/1/mma-manager-2-landscape-611x343_30fps.mp4,https://imgs.crazygames.com/mma-manager-2_16x9/20241204064357/mma-manager-2_16x9-cover?auto=format%2Ccompress&q=90&cs=strip&w=273&fit=crop
Microbe Mania - Cannon Strike,https://www.crazygames.com/game/microbe-mania---cannon-strike-cub,8.7,333,furkangame,January 2025,N/A,HTML5,N/A,Games » Casual » Mouse,N/A,https://games.crazygames.com/en_US/microbe-mania---cannon-strike-cub/index.html?v=1.317,"Microbe Mania Cannon Strike is a delightful casual game that combines precision and strategy with vibrant visuals. Catapult colorful microbes into floating bubbles, aim for accuracy, and progress through levels filled with charming music and fun!",N/A,N/A,N/A,N/A,https://videos.crazygames.com/microbe-mania---cannon-strike-cub/1/microbe-mania---cannon-strike-cub-landscape-611x343_30fps.mp4,https://imgs.crazygames.com/microbe-mania---cannon-strike-cub_16x9/20250110055658/microbe-mania---cannon-strike-cub_16x9-cover?auto=format%2Ccompress&q=90&cs=strip&w=273&fit=crop
Chips Sort Puzzle,https://www.crazygames.com/game/chips-sort-puzzle,8.9,404,Aleksei Skachko,January 2025,N/A,HTML5 (Unity WebGL),N/A,Games » Puzzle » Sorting,N/A,https://games.crazygames.com/en_US/chips-sort-puzzle/index.html?v=1.317,"Chips Sort Puzzle is a relaxing sorting challenge where you organize colorful chips into linked containers based on specific tasks. With its calming gameplay and engaging puzzles, this game offers a perfect balance of strategy and relaxation as you focus on creating order and completing each level with precision.",N/A,N/A,N/A,N/A,https://videos.crazygames.com/chips-sort-puzzle/1/chips-sort-puzzle-landscape-611x343_30fps.mp4,https://imgs.crazygames.com/chips-sort-puzzle_16x9/20250116100206/chips-sort-puzzle_16x9-cover?auto=format%2Ccompress&q=90&cs=strip&w=273&fit=crop
Build & Survive,https://www.crazygames.com/game/build-survive,8.9,"1,342",N/A,January 2025,N/A,HTML5 (Unity WebGL),N/A,Games » Adventure » Simulation,N/A,https://games.crazygames.com/en_US/build-survive/index.html?v=1.317,"Build & Survive is more than just a survival game—it’s an open canvas for your creativity and resourcefulness. Whether you’re battling the wilderness, designing your perfect base, or pushing the limits of your survival skills, the game offers a rewarding and endlessly engaging experience. Are you ready to conquer the wild and create your own story?",N/A,"WASD or arrow keys or left mouse button to move
Left mouse button to interact with in-game UI",N/A,N/A,https://videos.crazygames.com/build-survive/1/build-survive-landscape-611x343_30fps.mp4,https://imgs.crazygames.com/build-survive_16x9/20250115091951/build-survive_16x9-cover?auto=format%2Ccompress&q=90&cs=strip&w=273&fit=crop
Mage's Secret,https://www.crazygames.com/game/mage-s-secret,8.6,"1,657",Mirra Games,December 2024,N/A,HTML5,"Browser (desktop, mobile, tablet), App Store(Android)",Games » Puzzle » Casual » Merge,N/A,https://games.crazygames.com/en_US/mage-s-secret/index.html?v=1.317,"Mage's Secret is a magical merge-based puzzle game that challenges players to unite mystical monsters for various purposes, from sacrificing them in the Magic Cauldron to using them in battle. Every decision matters as you strategically summon, combine, and utilize monsters to expand your magical power and playing field.",N/A,"70+ Monsters to Discover: Summon, merge, and unlock a diverse range of creatures, each with unique properties like providing souls, energy, or combat skills.
Magical Tools and Resources: Utilize graves, sacred trees, demonic portals, and more as sources for summoning monsters.
Strategic Gameplay: Limited resources mean every action needs to be carefully planned. Decide which monsters to summon and how to position them effectively.
Legendary Challenges: Encounter and harness legendary monsters, which hold immense power but demand caution in their use.",N/A,N/A,https://videos.crazygames.com/mage-s-secret/1/mage-s-secret-landscape-611x343_30fps.mp4,https://imgs.crazygames.com/mage-s-secret_16x9/20241223081234/mage-s-secret_16x9-cover?auto=format%2Ccompress&q=90&cs=strip&w=273&fit=crop
My Dinoland,https://www.crazygames.com/game/my-dinoland,9.2,"1,692",N/A,January 2025,N/A,HTML5 (Unity WebGL),N/A,Games » Casual » Cute » Animal » Dinosaur,N/A,https://games.crazygames.com/en_US/my-dinoland/index.html?v=1.317,"My Dinoland is a simulation game where you manage your own dinosaur zoo! Breed and care for prehistoric creatures, upgrade their enclosures and create exciting attractions to draw in visitors. Discover new dinosaur species, design exotic environments, and ensure your dinosaurs are happy to keep your park thriving. Bring the Jurassic era to life and build the ultimate dinosaur zoo today!",N/A,"WASD / arrow keys = move
Left-click = interact with the in-game buttons",N/A,N/A,https://videos.crazygames.com/my-dinoland/1/my-dinoland-landscape-611x343_30fps.mp4,https://imgs.crazygames.com/my-dinoland_16x9/20250115112237/my-dinoland_16x9-cover?auto=format%2Ccompress&q=90&cs=strip&w=273&fit=crop
